eventid,region,attacktype1,targtype1,natlty1,weaptype1, 
201503050013 ,10,6,10,228,13,
201503050020 ,10,3,4,228,6,
201503050021 ,10,2,4,228,5,
201503080029 ,10,1,2,228,5,
201503090060 ,10,2,4,228,5,
201503090061 ,10,9,4,228,13,
201503100079 ,10,1,2,228,5,
201503110063 ,10,3,20,228,6,
201503120029 ,10,2,14,228,5,
201503120030 ,10,9,4,228,13,
201503140026 ,10,2,12,228,5,
201503140027 ,10,9,12,888,13,
201503160075 ,10,1,22,228,6,
201503170035 ,10,6,4,228,13,
201503170040 ,10,6,2,228,13,
201503190026 ,10,3,2,228,6,
201503190027 ,10,3,4,228,6,
201503200015 ,10,1,4,228,5,
201503200033 ,10,3,2,228,6,
201503210036 ,10,3,20,228,6,
201503210037 ,10,2,14,228,5,
201503220028 ,10,9,4,228,13,
201503220029 ,10,3,4,228,6,
201503230043 ,10,6,10,228,5,
201503240098 ,10,6,14,92,13,
201503260073 ,10,6,8,173,13,
201503270017 ,10,3,4,228,6,
201503290055 ,10,6,10,151,13,
201503300031 ,10,3,14,228,6,
201503300032 ,10,3,14,228,6,
201503300033 ,10,3,14,228,6,
201503300034 ,10,3,15,228,6,
201503300036 ,10,3,14,228,6,
201503300037 ,10,2,6,228,5,
201503300053 ,10,2,12,422,5,
201503310006 ,10,9,14,228,13,
201503310007 ,10,9,14,228,13,
201503310008 ,10,6,22,228,5,
201503310009 ,10,6,22,228,5,
201503310010 ,10,6,22,228,5,
201503310011 ,10,6,22,228,5,
201503310012 ,10,6,22,228,5,
201503310013 ,10,6,22,228,5,
201503310014 ,10,2,22,228,5,
201504010043 ,10,9,2,228,13,
201504010044 ,10,9,2,228,13,
201504020006 ,10,2,3,228,5,
201504030014 ,10,9,4,228,13,
201504030015 ,10,9,2,228,13,
201504030017 ,10,9,3,228,13,
201504030018 ,10,7,10,228,8,
201504030049 ,10,6,15,228,13,
